match	certainty	uuid	hit_sur	hit_giv	auth_sur	auth_giv	source	fuzzy	sur_equal	sur_len_diff	sur_nrm_equal	sur_dec_equal	sur_sim	giv_equal	giv_len_diff	giv_nrm_equal	giv_dec_equal	giv_sim	init_sub
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-82495da6d67bd3b7ecd6'	b'de Roure'	b'Calebe'	b'de Roure'	b'Calebe'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-ccd12f93e56ad77a7e68'	b'Pelizzon'	b'Loriana'	b'Pelizzon'	b'Loriana'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-a1994307abc7bc199651'	b'Tasca'	b'Paolo'	b'Tasca'	b'Paolo'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-82495da6d67bd3b7ecd6'	b'de Roure'	b'Calebe'	b'de Roure'	b'Calebe'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-ccd12f93e56ad77a7e68'	b'Pelizzon'	b'Loriana'	b'Pelizzon'	b'Loriana'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-a1994307abc7bc199651'	b'Tasca'	b'Paolo'	b'Tasca'	b'Paolo'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-82495da6d67bd3b7ecd6'	b'de Roure'	b'Calebe'	b'de Roure'	b'Calebe'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-ccd12f93e56ad77a7e68'	b'Pelizzon'	b'Loriana'	b'Pelizzon'	b'Loriana'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-a1994307abc7bc199651'	b'Tasca'	b'Paolo'	b'Tasca'	b'Paolo'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-82495da6d67bd3b7ecd6'	b'de Roure'	b'Calebe'	b'de Roure'	b'Calebe'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-ccd12f93e56ad77a7e68'	b'Pelizzon'	b'Loriana'	b'Pelizzon'	b'Loriana'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-a1994307abc7bc199651'	b'Tasca'	b'Paolo'	b'Tasca'	b'Paolo'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-7249d790b3c8382aa906'	b'Lindner'	b'Peter'	b'Lindner'	b'Peter'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-a843883aa003eb5b1698'	b'Loeffler'	b'Axel'	b'Loeffler'	b'Axel'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-1fcff856b9c7231fb36c'	b'Segalla'	b'Esther'	b'Segalla'	b'Esther'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-a60fe784e5433ed69abe'	b'Valitova'	b'Guzel'	b'Valitova'	b'Guzel'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-5564af791649f119498a'	b'Vogel'	b'Ursula'	b'Vogel'	b'Ursula'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-7249d790b3c8382aa906'	b'Lindner'	b'Peter'	b'Lindner'	b'Peter'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-a843883aa003eb5b1698'	b'Loeffler'	b'Axel'	b'Loeffler'	b'Axel'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-1fcff856b9c7231fb36c'	b'Segalla'	b'Esther'	b'Segalla'	b'Esther'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-a60fe784e5433ed69abe'	b'Valitova'	b'Guzel'	b'Valitova'	b'Guzel'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-5564af791649f119498a'	b'Vogel'	b'Ursula'	b'Vogel'	b'Ursula'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-7249d790b3c8382aa906'	b'Lindner'	b'Peter'	b'Lindner'	b'Peter'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-a843883aa003eb5b1698'	b'Loeffler'	b'Axel'	b'Loeffler'	b'Axel'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-1fcff856b9c7231fb36c'	b'Segalla'	b'Esther'	b'Segalla'	b'Esther'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-a60fe784e5433ed69abe'	b'Valitova'	b'Guzel'	b'Valitova'	b'Guzel'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-5564af791649f119498a'	b'Vogel'	b'Ursula'	b'Vogel'	b'Ursula'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-7249d790b3c8382aa906'	b'Lindner'	b'Peter'	b'Lindner'	b'Peter'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-a843883aa003eb5b1698'	b'Loeffler'	b'Axel'	b'Loeffler'	b'Axel'
