RC_id,ADRF_id
dataset-046,adrf-000010
dataset-046,adrf-000011
dataset-046,adrf-000012
dataset-046,adrf-000013
Unknown,adrf-000077
dataset-170,adrf-000079
maybe dataset-408,adrf-000102
Unknown,adrf-000030
maybe dataset-420,adrf-000044
maybe dataset-420,adrf-000045
maybe dataset-420,adrf-000046
Unknown,adrf-000047
Unknown,adrf-000049
Unknown,adrf-000051
Unknown,adrf-000052
maybe dataset-275,adrf-000074
Unknown,adrf-000064
dataset-412,adrf-000080
Unknown,adrf-000072
Unknown,adrf-000075
Unknown,adrf-000084
Unknown,adrf-000086
maybe dataset-859,adrf-000091
maybe dataset-410,adrf-000097
maybe dataset-416,adrf-000101
dataset-058,adrf-000104
maybe dataset-001,adrf-000117
dataset-001,adrf-000118
maybe dataset-521,adrf-000119
maybe dataset-521,adrf-000120
Unknown,adrf-000123
dataset-378,adrf-000124
dataset-379,adrf-000125
dataset-197,adrf-000126
dataset-197,adrf-000127
dataset-197,adrf-000128
dataset-169,adrf-000129
dataset-169,adrf-000130
dataset-426,adrf-000145
dataset-088,adrf-000146
dataset-771,adrf-000147
dataset-850,adrf-000148
