RC_id,ADRF_id,RC_title,ADRF_title,RC_Provider,ADRF_Provider,RC_description,ADRF_description,RC_provider_id,ADRF_provider_id
dataset-046,adrf-000010,American Community Survey,American Community Survey 2015 5yr estimates - SELECTED ECONOMIC CHARACTERISTICS,US Census Bureau,US Census Bureau,"The American Community Survey (ACS) helps local officials, community leaders, and businesses understand the changes taking place in their communities.","The American Community Survey (ACS) is part of the U.S. Census Bureau's Decennial Census Program and is designed to provide current demographic, social, economic, and housing estimates throughout the decade. Table DP03 provides socioeconomic characteristics such as unemployment, occupation and industry type, number of households by income bracket, number of people by health insurance coverage type, and numbers living under the poverty level.",provider-225,13
dataset-046,adrf-000011,American Community Survey,American Community Survey 2015 5yr estimates - ACS DEMOGRAPHIC AND HOUSING ESTIMATES,US Census Bureau,US Census Bureau,"The American Community Survey (ACS) helps local officials, community leaders, and businesses understand the changes taking place in their communities.","The American Community Survey (ACS) is part of the U.S. Census Bureau's Decennial Census Program and is designed to provide current demographic, social, economic, and housing estimates throughout the decade. Table DP05 provides demographic characteristics: the number of people by age, sex, race and of voting age.",provider-225,13
dataset-046,adrf-000012,American Community Survey,American Community Survey 2010 5yr estimates - SELECTED ECONOMIC CHARACTERISTICS,US Census Bureau,US Census Bureau,"The American Community Survey (ACS) helps local officials, community leaders, and businesses understand the changes taking place in their communities.","The American Community Survey (ACS) is part of the U.S. Census Bureau's Decennial Census Program and is designed to provide current demographic, social, economic, and housing estimates throughout the decade. Table DP03 provides socioeconomic characteristics such as unemployment, occupation and industry type, number of households by income bracket, number of people by health insurance coverage type, and numbers living under the poverty level.",provider-225,13
dataset-046,adrf-000013,American Community Survey,American Community Survey 2010 5yr estimates - ACS DEMOGRAPHIC AND HOUSING ESTIMATES,US Census Bureau,US Census Bureau,"The American Community Survey (ACS) helps local officials, community leaders, and businesses understand the changes taking place in their communities.","The American Community Survey (ACS) is part of the U.S. Census Bureau's Decennial Census Program and is designed to provide current demographic, social, economic, and housing estimates throughout the decade. Table DP05 provides demographic characteristics: the number of people by age, sex, race and of voting age.",provider-225,13
dataset-170,adrf-000079,Quarterly Workforce Indicators,"LEHD Quarterly Workforce Indicators (QWI) earnings, turnover, and net change for ages 19-34 - New York State",US Census Bureau,US Census Bureau,"The Quarterly Workforce Indicators (QWI) are a set of economic indicators including employment, job creation, earnings, and other measures of employment flows.","This dataset provides the turnover, net firm job change, and average monthly earnings by NAICS three-digit subsector for those 19-21, 22-24, and 25-34 years of age in New York State. ",provider-225,13
dataset-412,adrf-000080,North American Industry Classification System Definitions,2012 North American Industry Classification System (NAICS) Definitions - 2 to 6 Digit codes,US Census Bureau,United States Office of Management and Budget (OMB),"The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.","The North American Industry Classification System (NAICS) is the standard used by Federal statistical agencies in classifying business establishments for the purpose of collecting, analyzing, and publishing statistical data related to the U.S. business economy.",provider-225,6
dataset-058,adrf-000104,Consumer Price Index,Consumer Price Index for All Urban Consumers (CPI-U),US Bureau of Labor Statistics,Bureau of Labor Statistics (BLS),The Consumer Price Index (CPI) is a measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services.,"The Consumer Price Index (CPI) is a statistical measure of change, over time, of the prices of goods and services in major expenditure groups--such as food, housing, apparel, transportation, and medical care--typically purchased by urban consumers. Essentially, it compares the cost of a sample ""market basket"" of goods and services in a specific month relative to the cost of the same ""market basket"" in an earlier reference period. This reference period is designated as the base period.


The CPI publishes indexes for two populations; all urban consumers (CU) and urban wage earners and clerical workers (CW). This dataset is for all urban consumers.


To construct the two indexes, thousands of prices for commodities and services purchased by consumers are collected in a sample of 75 urban places. Rent data is collected in a separate sample of thousands of rental units. Comparison of indexes for individual CMSA's or cities show only the relative change over time in prices between locations. These indexes cannot be used to measure interarea differences in price levels or living costs.",provider-224,11
dataset-001,adrf-000118,IRI Infoscan,"Information Resources, Inc. (IRI) InfoScan retail-based scanner data",IRI,United States Department of Agriculture (USDA),,Weekly UPC-level retail food sales data. These data are collected though in-store scanners and include all food items sold by a set of affiliated retailers. Includes accompanying data sets of product information and store information. ,provider-074,8
dataset-378,adrf-000124,Missouri Department of Higher Education Enrollment Data,"Missouri Department of Higher Education (DHE) - Enrollments, 2006-2016",Missouri Department of Higher Education & Workforce Development,Missouri Department of Higher Education (DHE),,"Enrollment records from all public higher institutions in Missouri. This set includes records level data, including year of enrollment, random and anonymized student ID, degree by CIP and degree level of enrollment program, county of origin, type of higher education institution, and demographics.",provider-143,51
dataset-379,adrf-000125,Missouri Department of Higher Education Completion Data,"Missouri Department of Higher Education (DHE) - Completions, 2006-2017",Missouri Department of Higher Education & Workforce Development,Missouri Department of Higher Education (DHE),,"Completion records from all public higher institutions in Missouri. This set includes records level data, including year of completion, random and anonymized student ID, degree by CIP and degree level of enrollment program, county of origin, type of higher education institution, and demographics.",provider-143,51
