adrf_id,link,reason,manually reviewed
adrf-000001,dataset-364,record linkage,yes
adrf-000002,dataset-365,record linkage,yes
adrf-000003,Unknown,,
adrf-000004,dataset-366,record linkage,yes
adrf-000005,Unknown,,
adrf-000006,Unknown,,
adrf-000007,dataset-410,url match,edge case. Review
adrf-000008,dataset-410,url match,edge case. Review
adrf-000009,dataset-410,url match,edge case. Review
adrf-000010,Unknown,,
adrf-000011,Unknown,,
adrf-000012,Unknown,,
adrf-000013,Unknown,,
adrf-000014,Unknown,,
adrf-000015,Unknown,,
adrf-000016,Unknown,,
adrf-000017,dataset-390,record linkage,yes
adrf-000018,dataset-391,record linkage,yes
adrf-000019,dataset-392,title match,yes
adrf-000020,dataset-393,title match,yes
adrf-000021,dataset-394,record linkage,yes
adrf-000022,dataset-395,title match,yes
adrf-000023,dataset-396,record linkage,yes
adrf-000024,dataset-397,title match,yes
adrf-000025,dataset-398,title match,yes
adrf-000026,Unknown,,
adrf-000027,dataset-399,title match,yes
adrf-000028,dataset-400,title match,yes
adrf-000029,dataset-401,title match,yes
adrf-000030,Unknown,,
adrf-000031,dataset-403,title match,yes
adrf-000032,dataset-404,title match,yes
adrf-000033,dataset-405,title match,yes
adrf-000034,Unknown,,
adrf-000035,Unknown,,
adrf-000036,dataset-369,record linkage,yes
adrf-000037,dataset-367,record linkage,yes
adrf-000038,FALSE,data_provider id 14,edge case. Review. providers missmatch and adrf looks like a subset of dataset-419
adrf-000039,FALSE,data_provider id 14,edge case. Review. providers missmatch and adrf looks like a subset of dataset-419
adrf-000040,FALSE,data_provider id 14,edge case. Review. providers missmatch and adrf looks like a subset of dataset-419
adrf-000041,FALSE,data_provider id 14,edge case. Review. providers missmatch and adrf looks like a subset of dataset-419
adrf-000042,FALSE,data_provider id 14,edge case. Review. providers missmatch and adrf looks like a subset of dataset-419
adrf-000043,FALSE,data_provider id 14,edge case. Review. providers missmatch and adrf looks like a subset of dataset-419
adrf-000044,FALSE,data_provider id 14,yes
adrf-000045,FALSE,data_provider id 14,yes
adrf-000046,FALSE,data_provider id 14,yes
adrf-000047,FALSE,data_provider id 7,yes
adrf-000048,FALSE,data_provider id 7,yes
adrf-000049,FALSE,data_provider id 7,yes
adrf-000050,FALSE,data_provider id 7,yes
adrf-000051,FALSE,data_provider id 7,yes
adrf-000052,FALSE,data_provider id 7,yes
adrf-000053,FALSE,data_provider id 7,edge case. Review. providers missmatch. Matches with dataset-422
adrf-000054,dataset-406,title match,yes
adrf-000055,dataset-368,record linkage,yes
adrf-000056,dataset-407,title match,yes
adrf-000057,dataset-408,record linkage,yes
