RC_id,ADRF_id,RC_title,ADRF_title,RC_Provider,ADRF_Provider,RC_description,ADRF_description,RC_provider_id,ADRF_provider_id
dataset-364,adrf-000001,Illinois Department of Corrections Inmate Admissions,Illinois Department of Corrections (DOC) Inmate Admissions 1990-2015,Illinois Department of Corrections,Illinois Department of Corrections,"Detailed transactional data of each time a person was admitted to an Illinois Department of Corrections (DOC) facility from 1990 to 2015. Variables include demographic, charges, sentencing, conduct, security level, health and mental health status, gang affiliation. Data are collected using correctional facility data and court records. See data dictionary documentation for detailed description of all fields.","Detailed transactional data of each time a person was admitted to an Illinois Department of Corrections (DOC) facility from 1990 to 2015. Variables include demographic, charges, sentencing, conduct, security level, health and mental health status, gang affiliation. Data are collected using correctional facility data and court records. See data dictionary documentation for detailed description of all fields.


Please access the full dataset in course database table: ildoc.ildoc_admit",provider-079,3
dataset-365,adrf-000002,Illinois Department of Corrections Inmate Exits,Illinois Department of Corrections (DOC) Inmate Exits - 1990-2015,Illinois Department of Corrections,Illinois Department of Corrections,"Detailed transactional data of each time an inmate was released from an Illinois Department of Corrections (DOC) facility from 1990 to 2015. Variables include demographic, residence, charges, sentencing, conduct, security level, health and mental health status, gang affiliation. Data are collected using correctional facility data and court records. See data dictionary documentation for detailed description of all fields.","Detailed transactional data of each time an inmate was released from an Illinois Department of Corrections (DOC) facility from 1990 to 2015. Variables include demographic, residence, charges, sentencing, conduct, security level, health and mental health status, gang affiliation. Data are collected using correctional facility data and court records. See data dictionary documentation for detailed description of all fields.

Please access the full dataset in course database table: ildoc.ildoc_exit",provider-079,3
dataset-369,adrf-000036,Illinois Department of Corrections Parolee address data,Illinois Department of Corrections (DOC) Parolee address data - 2009-2015,Illinois Department of Corrections,Illinois Department of Corrections,"Location information for persons active in the Illinois parole system from 2009 to 2015. A given person could have multiple rows in this table, one per year they were on parole. Each row contains a latitude/longitude coordinate based on the parolee’s address on file (redacted from this file), as well as additional information on original and derived county, city, and zip code and metadata that indicates who confident we are that the point corresponds to the address. Because the parole system doesn’t include historical data, parolees who exited the system before 2009 won’t be represented in this data set.","Location information for persons active in the Illinois parole system from 2009 to 2015. A given person could have multiple rows in this table, one per year they were on parole. Each row contains a latitude/longitude coordinate based on the parolee’s address on file (redacted from this file), as well as additional information on original and derived county, city, and zip code and metadata that indicates who confident we are that the point corresponds to the address. Because the parole system doesn’t include historical data, parolees who exited the system before 2009 won’t be represented in this data set.


From IDOC:
please note you are receiving parolee address information as of the last day of the FY for all active parolees for the added period in question. There are some cautions associated with address data including; some parolees are showing as AWOL which means the parolee is currently not residing at a known/approved location. In addition, some addresses are actually county jail addresses where parolees are being held pending new criminal charges. Some addresses are treatment facilities, recovery homes, or homeless shelters where offenders may be residing temporarily. Finally, some address are merely places where the parolee meets with the agent but does not actually reside. While it is our policy to verify addresses to the best of our ability, there are a number of offenders who do not wish us to know where they really reside and as such, utilize the address of a family member or friend who they know will provide assurance that the parolee resides there. Also please note, addresses are input by Agents so there are always possibilities that human errors are contained in the dataset. These are a few of the reasons why we do not create policy based on address, as a number of our parolees live a transient lifestyle and do not necessarily reside where they work or commit new crimes.


Please access the full dataset in course database table: ildoc.il_doc_parole
",provider-079,3
dataset-324,adrf-000085,Illinois Department of Corrections State Prison Data,Illinois Department of Corrections Person Relation Table,Illinois Department of Corrections,Illinois Department of Corrections,,"A relationship table to be used with Illinois Department of Corrections (ILDOC) Admission and Exit tables which join hashed names, hashed ssns, birthyear, race, sex, and ILDOC doc number for the purposes of easier matches across tables. Each unique doc number has a row in the person table. Other values are set only when they are the same for a given doc number across all rows in the admissions and exits tables. It is found in the database at: ildoc.person",provider-079,3
dataset-859,adrf-000003,Illinois Department of Job and Employment Security Employment Projections,Illinois Department of Employment Security (IDES) Unemployment Insurance (UI) wage records - 2005-2015,Illinois Department of Employment Security,"Illinois Department of Employment Security, US Census Bureau",Employment projections are available for both industries and occupations. Short-term projections cover a two year period and long-term projections cover a 10 year period.,"Quarterly records of wages for every job held by each person in the state of Illinois from 2005 to 2015. This data is derived from the Illinois Dept. of Employment Security (IDES) Unemployment Insurance (UI) wage file that the Local Employment Dynamics (LED) state partners supply to the Census department for use in producing Quarterly Workforce Indicators (QWI). See attached data dictionary for field details.


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in the partitioned course database table: ides.il_wage. There is also an unpartitoned version of the table in the database at ides.il_des_wage",provider-080,24
dataset-859,adrf-000034,Illinois Department of Job and Employment Security Employment Projections,Illinois Department of Employment Security (IDES) Employer records - 2005-2015,Illinois Department of Employment Security,"Illinois Department of Employment Security, US Census Bureau",Employment projections are available for both industries and occupations. Short-term projections cover a two year period and long-term projections cover a 10 year period.,"Detailed quarterly information on all of the employers who are present in Illinois’ wage files.  Employer information includes address information, key dates in the quarter, and information on wages and employees per business per quarter. See attached data dictionary for field details.


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in course database table: il_qcew_employers",provider-080,24
dataset-859,adrf-000035,Illinois Department of Job and Employment Security Employment Projections,Illinois Department of Employment Security (IDES) establishment data addendum to employer records - 2012-2015,Illinois Department of Employment Security,"Illinois Department of Employment Security, US Census Bureau",Employment projections are available for both industries and occupations. Short-term projections cover a two year period and long-term projections cover a 10 year period.,"More detailed quarterly location data for the employers in the employer records file above created by IDES using their preferred geocoding process. Only created from 2012 to present. Includes latitude and longitude as well as Census ID to the block level.


Location information for employers was derived quarterly, but only from 2012 to 2015.  Employers from wage records from earlier years might be present in this table, but it wouldn’t be historical data. Just location.


The summary of this dataset’s fields is a sample of records only. Please access the full dataset in course database table: il_des_establishment",provider-080,24
dataset-366,adrf-000004,US Department of Housing and Urban Development Program Microdata - Individuals: Illinois,US Department of Housing and Urban Development Program Microdata 2004-2016 - Individuals: Illinois,US Department of Housing and Urban Development,US Department of Housing and Urban Development,"Detailed transactional data consisting of tenant-level data for individuals in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on individuals aggregated at the Census block level, including rent, years in program, and income; and individual race and gender. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).","Detailed transactional data consisting of tenant-level data for individuals in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on individuals aggregated at the Census block level, including rent, years in program, and income; and individual race and gender. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).


Please access the full dataset in course database table: hud.hud_individual_block_data_il",provider-231,20
dataset-367,adrf-000037,US Department of Housing and Urban Development Program Microdata - Households: Illinois,US Department of Housing and Urban Development Program Microdata 2004-2016 - Households: Illinois,US Department of Housing and Urban Development,US Department of Housing and Urban Development,"Detailed transactional data consisting of tenant-level data for households in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on households aggregated at the Census block level, including household family type, rent, years in program, and income. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).","Detailed transactional data consisting of tenant-level data for households in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on households aggregated at the Census block level, including household family type, rent, years in program, and income. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).


Please access the full dataset in course database table: hud.hud_household_block_data_il",provider-231,20
dataset-366,adrf-000069,US Department of Housing and Urban Development Program Microdata - Individuals: Illinois,US Department of Housing and Urban Development Program Microdata 2004-2016 - Individuals: New York,US Department of Housing and Urban Development,US Department of Housing and Urban Development,"Detailed transactional data consisting of tenant-level data for individuals in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on individuals aggregated at the Census block level, including rent, years in program, and income; and individual race and gender. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).","Detailed transactional data consisting of tenant-level data for individuals in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on individuals aggregated at the Census block level, including rent, years in program, and income; and individual race and gender. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).


Please access the full dataset in course database table: hud.hud_individual_block_data_ny",provider-231,20
